authors,doi,link,type,model,test,methods,significance,reads,posts,score,public,scientists,communicators,doctors,citations,date_published,date_extracted,date_difference,registered,preregistered,statistics,outcome,data_available,code
"C. Rossetti, D. Sciarra, J. M. Petit, C. B. Eap, O. Halfon, P. J. Magistretti, B. Boutrel and J. R. Cardinaux",10.1038/s41398-017-0023-4,https://www.ncbi.nlm.nih.gov/pubmed/29217834,observational,rodents,whitney,nolink,mixed,37,1,0.25,1,,,,7,12/08/2017,12/09/2020,1097,no,no,no,no,no ,no
"D. Arriscado, E. Knox, M. Zabala, F. Zurita-Ortega, J. M. Dalmau and J. J. Muros",10.1007/s10389-017-0823-2,https://www.ncbi.nlm.nih.gov/pubmed/29177127,observational,humans,whitney,nolink,significant,37,2,1,2,,,,4,8/14/2017,12/09/2020,1213,no,no,no,no,no ,no
"D. Herzig, P. Eser, T. Radtke, A. Wenger, T. Rusterholz, M. Wilhelm, P. Achermann, A. Arhab, O. G. Jenni, T. H. Kakebeeke, C. S. Leeger-Aschmann, N. Messerli-Burgy, A. H. Meyer, S. Munsch, J. J. Puder, E. A. Schmutz, K. Stulb, A. E. Zysset and S. Kriemler",10.3389/fphys.2017.00109,https://www.ncbi.nlm.nih.gov/pubmed/28286485,observational,humans,kruskal,ambiguous,mixed,93,9,4.6,7,1,1,,12,2/24/2017,12/09/2020,1384,yes ,no ,no ,no ,request,no
"I. Schlecht, W. Gronwald, G. Behrens, S. E. Baumeister, J. Hertel, J. Hochrein, H. U. Zacharias, B. Fischer, P. J. Oefner and M. F. Leitzmann",10.1371/journal.pone.0175133,https://www.ncbi.nlm.nih.gov/pubmed/28403191,observational,humans,kruskal,ambiguous,mixed,43,3,0.5,2,,,,16,4/12/2017,12/09/2020,1337,no,no,no,no,request,no
"J. Kocot, P. Dziemidok, M. Kielczykowska, A. Hordyjewska, G. Szczesniak and I. Musik",10.12659/MSM.904318,https://www.ncbi.nlm.nih.gov/pubmed/29049270,observational,humans,kruskal,error,significant,,,,,,,,8,10/19/2017,12/09/2020,1147,no,no,no,no,no ,no
"J. Kocot, P. Dziemidok, M. Kielczykowska, J. Kurzepa, G. Szczesniak and I. Musik",10.3390/ijerph15010019,https://www.ncbi.nlm.nih.gov/pubmed/29295491,observational,humans,kruskal,error,not,23,1,0.5,1,,,,5,12/23/2017,12/09/2020,1082,no,no,no,no,no ,no
"J. L. Hollis, S. R. Crozier, H. M. Inskip, C. Cooper, K. M. Godfrey, N. C. Harvey, C. E. Collins and S. M. Robinson",10.1038/ijo.2017.78,https://www.ncbi.nlm.nih.gov/pubmed/28337028,observational,humans,whitney,nolink,mixed,60,15,30,2,3,,5,27,3/24/2017,12/09/2020,1356,no,no,no,no,request,no
"K. A. Lytle, C. P. Wong and D. B. Jump",10.1371/journal.pone.0173376,https://www.ncbi.nlm.nih.gov/pubmed/28422962,intervention,rodents,nonparametric,error,mixed,56,27,124.7,3,3,1,2,25,4/19/2017,12/09/2020,1330,no,no,no,no,yes,no
"K. A. Philbrick, C. P. Wong, A. J. Branscum, R. T. Turner and U. T. Iwaniec",10.1530/JOE-16-0484,https://www.ncbi.nlm.nih.gov/pubmed/28057869,intervention,rodents,kruskal,correct,significant,26,3,1.5,2,,1,,25,1/05/2017,12/09/2020,1434,no,no,no,no,no ,no
"K. E. Boyle, Z. W. Patinkin, A. L. B. Shapiro, C. Bader, L. Vanderlinden, K. Kechris, R. C. Janssen, R. J. Ford, B. K. Smith, G. R. Steinberg, E. J. Davidson, I. V. Yang, D. Dabelea and J. E. Friedman",10.1016/j.molmet.2017.08.012,https://www.ncbi.nlm.nih.gov/pubmed/29107296,observational,humans,whitney,ambiguous,mixed,72,11,6.95,5,4,,2,21,9/01/2017,12/09/2020,1195,yes,no,no ,no,yes,no
"L. B. VanWagner, J. G. Terry, L. S. Chow, A. C. Alman, H. Kang, K. H. Ingram, C. Shay, C. E. Lewis, R. N. Bryan, L. J. Launer and J. Jeffrey Carr",10.1002/oby.21767,https://www.ncbi.nlm.nih.gov/pubmed/28169509,observational,humans,whitney,ambiguous,significant,40,8,4.7,4,2,,1,8,2/07/2017,12/09/2020,1401,no,no,no,no,no ,no
"L. D. Clamp, D. J. Hume, E. V. Lambert and J. Kroff",10.1038/nutd.2017.31,https://www.ncbi.nlm.nih.gov/pubmed/28628125,intervention,humans,kruskal,nolink,mixed,74,16,46.25,4,,,2,15,6/19/2017,12/09/2020,1269,no,no,no,no,no ,no
"L. Moir, E. G. Bochukova, R. Dumbell, G. Banks, R. S. Bains, P. M. Nolan, C. Scudamore, M. Simon, K. A. Watson, J. Keogh, E. Henning, A. Hendricks, S. O'Rahilly, I. Barroso, U. K. consortium, A. E. Sullivan, D. C. Bersten, M. L. Whitelaw, S. Kirsch, E. Bentley, I. S. Farooqi and R. D. Cox",10.1016/j.molmet.2017.08.006,https://www.ncbi.nlm.nih.gov/pubmed/29107289,observational,rodents,whitney,nolink,significant,39,23,13.35,9,6,1,2,3,8/24/2017,12/09/2020,1203,no ,no,no,no,yes,no
"L. Mokros, W. Kuczynski, L. Franczak and P. Bialasiewicz",10.5664/jcsm.6664,https://www.ncbi.nlm.nih.gov/pubmed/28502282,observational,humans,kruskal,ambiguous,mixed,,,,,,,,6,7/15/2017,12/09/2020,1243,no,no,no,no,no ,no
"L. N. Tu, M. R. Showalter, T. Cajka, S. Fan, V. V. Pillai, O. Fiehn and V. Selvaraj",10.1038/s41598-017-05040-6,https://www.ncbi.nlm.nih.gov/pubmed/28733574,intervention,rodents,whitney,error,significant,,,,,,,,30,7/21/2017,12/09/2020,1237,no,no,no,no,no ,no
"L. Stefan, M. Cule, I. Milinovic, D. Juranko and G. Sporis",10.3390/ijerph14080893,https://www.ncbi.nlm.nih.gov/pubmed/28786940,observational,humans,whitney,ambiguous,mixed,,,,,,,,7,8/08/2017,12/09/2020,1219,no,no,no,no,no ,no
"M. Bahls, S. Gross, T. Ittermann, R. Busch, S. Glaser, R. Ewert, H. Volzke, S. B. Felix and M. Dorr",10.1371/journal.pone.0179534,https://www.ncbi.nlm.nih.gov/pubmed/28617869,observational,humans,whitney,ambiguous,mixed,74,7,4.65,4,,,2,6,6/15/2017,12/09/2020,1273,no ,no,no,no,request,no
"M. Hennig, S. Fiedler, C. Jux, L. Thierfelder and J. D. Drenckhahn",10.1161/JAHA.117.005506,https://www.ncbi.nlm.nih.gov/pubmed/28778941,intervention,rodents,kruskal,error,mixed,26,12,6.1,7,2,3,,8,8/04/2017,12/09/2020,1223,no,no,no,no,no ,no
"M. Paquette, A. S. Medina Larque, S. J. Weisnagel, Y. Desjardins, J. Marois, G. Pilon, S. Dudonne, A. Marette and H. Jacques",10.1017/S0007114517000393,https://www.ncbi.nlm.nih.gov/pubmed/28290272,intervention,humans,whitney,correct,significant,135,194,156.4,89,9,3,23,44,3/14/2017,12/09/2020,1366,yes,no,no,no,no ,no
"N. H. Pedersen, J. Tarp, L. B. Andersen, A. K. Gejl, T. Huang, L. Peijs and A. Bugge",10.1371/journal.pone.0186384,https://www.ncbi.nlm.nih.gov/pubmed/29028824,observational,humans,whitney,ambiguous,significant,,,,,,,,9,10/13/2017,12/09/2020,1153,no,no,no,no,request,no
"N. Kitao, H. Miyoshi, T. Furumoto, K. Ono, H. Nomoto, A. Miya, C. Yamamoto, A. Inoue, K. Tsuchida, N. Manda, Y. Kurihara, S. Aoki, A. Nakamura, T. Atsumi and S. S. Group",10.1186/s12933-017-0607-6,https://www.ncbi.nlm.nih.gov/pubmed/29017497,intervention,humans,whitney,nolink,significant,38,5,2.7,5,,,,12,10/10/2017,12/09/2020,1156,no ,no,no,no,yes,no
"P. E. Wischmeyer, M. Hasselmann, C. Kummerlen, R. Kozar, D. J. Kutsogiannis, C. J. Karvellas, B. Besecker, D. K. Evans, J. C. Preiser, L. Gramlich, K. Jeejeebhoy, R. Dhaliwal, X. Jiang, A. G. Day and D. K. Heyland",10.1186/s13054-017-1736-8,https://www.ncbi.nlm.nih.gov/pubmed/28599676,intervention,humans,whitney,nolink,mixed,172,105,46.35,32,7,3,32,57,6/09/2017,12/09/2020,1279,yes,yes,no,mixed,request,no
"S. Bluemel, D. Menne, G. Milos, O. Goetze, M. Fried, W. Schwizer, M. Fox and A. Steingoetter",10.1186/s12876-016-0560-y,https://www.ncbi.nlm.nih.gov/pubmed/28056812,observational,humans,kruskal,nolink,significant,64,1,0.5,1,,,,20,1/05/2017,12/09/2020,1434,yes,yes,no,yes,no ,no
"S. Pischke, M. C. Lege, M. von Wulffen, A. Galante, B. Otto, M. H. Wehmeyer, U. Herden, L. Fischer, B. Nashan, A. W. Lohse and M. Sterneck",10.4254/wjh.v9.i8.427,https://www.ncbi.nlm.nih.gov/pubmed/28357030,observational,humans,whitney,nolink,significant,,,,,,,,8,3/18/2017,12/09/2020,1362,no,no,no,no,no ,no
"V. Julian, R. Blondel, B. Pereira, D. Thivel, Y. Boirie and M. Duclos",10.14740/jocmr3142w,https://www.ncbi.nlm.nih.gov/pubmed/29038669,observational,humans,kruskal,error,mixed,18,1,0.5,,1,,,3,10/02/2017,12/09/2020,1164,no,no,no,no,no ,no
"Y. H. Chung, J. H. Han, S. B. Lee, Y. H. Lee",10.5487/TR.2017.33.2.165,https://www.ncbi.nlm.nih.gov/pubmed/28503266,intervention,rodents,kruskal,error,not,,,,,,,,6,4/15/2017,12/09/2020,1334,no,no,no,no,no ,no
"Y. Paalvast, A. Gerding, Y. Wang, V. W. Bloks, T. H. van Dijk, R. Havinga, K. Willems van Dijk, P. C. N. Rensen, B. M. Bakker, J. A. Kuivenhoven and A. K. Groen",10.14814/phy2.13376,https://www.ncbi.nlm.nih.gov/pubmed/29038350,intervention,rodents,kruskal,ambiguous,significant,28,3,1.25,2,1,,,8,10/16/2017,12/09/2020,1150,no,no,no,no,yes,yes
"Z. Q. Yang, Q. Zhao, P. Jiang, S. B. Zheng and B. Xu",10.1186/s12877-017-0686-y,https://www.ncbi.nlm.nih.gov/pubmed/29281978,observational,humans,whitney,error,significant,,,,,,,,8,12/28/2017,12/09/2020,1077,no,no,no,no,request,no
